activity_id,branch_method,branch_time_in_child,branch_time_in_parent,experiment,experiment_id,frequency,grid,grid_label,institution_id,nominal_resolution,parent_activity_id,parent_experiment_id,parent_source_id,parent_time_units,parent_variant_label,product,realm,source_id,source_type,sub_experiment,sub_experiment_id,table_id,variable_id,variant_label,member_id,standard_name,long_name,units,vertical_levels,init_year,start_time,end_time,time_range,path,version
CMIP,standard,674885.0,219000.0,all-forcing simulation of the recent past,historical,mon,native gx1v7 displaced pole grid (384x320 latxlon),gn,NCAR,100 km,CMIP,piControl,CESM2,days since 0001-01-01 00:00:00,r1i1p1f1,model-output,ocnBgchem,CESM2,AOGCM BGC,none,none,Omon,fbddtdisi,r1i1p1f1,r1i1p1f1,tendency_of_ocean_mole_content_of_dissolved_inorganic_silicon_due_to_biological_processes,Rate of Change of Dissolved Inorganic Silicon due to Biological Activity,mol m-2 s-1,1.0,,1850-01-15 13:00:00.000007,2014-12-15 12:00:00,1850-01-15-2014-12-15,/glade/collections/cmip/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/Omon/fbddtdisi/gn/v20190308/fbddtdisi_Omon_CESM2_historical_r1i1p1f1_gn_185001-201412.nc,v20190308
CMIP,standard,674885.0,219000.0,all-forcing simulation of the recent past,historical,mon,native gx1v7 displaced pole grid (384x320 latxlon),gn,NCAR,100 km,CMIP,piControl,CESM2,days since 0001-01-01 00:00:00,r1i1p1f1,model-output,ocnBgchem,CESM2,AOGCM BGC,none,none,Omon,fddtalk,r1i1p1f1,r1i1p1f1,integral_wrt_depth_of_tendency_of_sea_water_alkalinity_expressed_as_mole_equivalent,Rate of Change of Total Alkalinity,mol m-2 s-1,1.0,,1850-01-15 13:00:00.000007,2014-12-15 12:00:00,1850-01-15-2014-12-15,/glade/collections/cmip/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/Omon/fddtalk/gn/v20190308/fddtalk_Omon_CESM2_historical_r1i1p1f1_gn_185001-201412.nc,v20190308
CMIP,standard,674885.0,219000.0,all-forcing simulation of the recent past,historical,mon,native gx1v7 displaced pole grid (384x320 latxlon),gn,NCAR,100 km,CMIP,piControl,CESM2,days since 0001-01-01 00:00:00,r1i1p1f1,model-output,ocnBgchem,CESM2,AOGCM BGC,none,none,Omon,fddtdic,r1i1p1f1,r1i1p1f1,tendency_of_ocean_mole_content_of_dissolved_inorganic_carbon,Rate of Change of Net Dissolved Inorganic Carbon,mol m-2 s-1,1.0,,1850-01-15 13:00:00.000007,2014-12-15 12:00:00,1850-01-15-2014-12-15,/glade/collections/cmip/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/Omon/fddtdic/gn/v20190308/fddtdic_Omon_CESM2_historical_r1i1p1f1_gn_185001-201412.nc,v20190308
CMIP,standard,674885.0,219000.0,all-forcing simulation of the recent past,historical,mon,native gx1v7 displaced pole grid (384x320 latxlon),gn,NCAR,100 km,CMIP,piControl,CESM2,days since 0001-01-01 00:00:00,r1i1p1f1,model-output,ocnBgchem,CESM2,AOGCM BGC,none,none,Omon,fddtdife,r1i1p1f1,r1i1p1f1,tendency_of_ocean_mole_content_of_dissolved_inorganic_iron,Rate of Change of Net Dissolved Inorganic Iron,mol m-2 s-1,1.0,,1850-01-15 13:00:00.000007,2014-12-15 12:00:00,1850-01-15-2014-12-15,/glade/collections/cmip/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/Omon/fddtdife/gn/v20190308/fddtdife_Omon_CESM2_historical_r1i1p1f1_gn_185001-201412.nc,v20190308
CMIP,standard,674885.0,219000.0,all-forcing simulation of the recent past,historical,mon,native gx1v7 displaced pole grid (384x320 latxlon),gn,NCAR,100 km,CMIP,piControl,CESM2,days since 0001-01-01 00:00:00,r1i1p1f1,model-output,ocnBgchem,CESM2,AOGCM BGC,none,none,Omon,fddtdin,r1i1p1f1,r1i1p1f1,tendency_of_ocean_mole_content_of_dissolved_inorganic_nitrogen,Rate of Change of Net Dissolved Inorganic Nitrogen,mol m-2 s-1,1.0,,1850-01-15 13:00:00.000007,2014-12-15 12:00:00,1850-01-15-2014-12-15,/glade/collections/cmip/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/Omon/fddtdin/gn/v20190308/fddtdin_Omon_CESM2_historical_r1i1p1f1_gn_185001-201412.nc,v20190308
CMIP,standard,674885.0,219000.0,all-forcing simulation of the recent past,historical,mon,native gx1v7 displaced pole grid (384x320 latxlon),gn,NCAR,100 km,CMIP,piControl,CESM2,days since 0001-01-01 00:00:00,r1i1p1f1,model-output,ocnBgchem,CESM2,AOGCM BGC,none,none,Omon,fddtdip,r1i1p1f1,r1i1p1f1,tendency_of_ocean_mole_content_of_dissolved_inorganic_phosphorus,Rate of Change of Net Dissolved Inorganic Phosphorus,mol m-2 s-1,1.0,,1850-01-15 13:00:00.000007,2014-12-15 12:00:00,1850-01-15-2014-12-15,/glade/collections/cmip/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/Omon/fddtdip/gn/v20190308/fddtdip_Omon_CESM2_historical_r1i1p1f1_gn_185001-201412.nc,v20190308
CMIP,standard,674885.0,219000.0,all-forcing simulation of the recent past,historical,mon,native gx1v7 displaced pole grid (384x320 latxlon),gn,NCAR,100 km,CMIP,piControl,CESM2,days since 0001-01-01 00:00:00,r1i1p1f1,model-output,ocnBgchem,CESM2,AOGCM BGC,none,none,Omon,fddtdisi,r1i1p1f1,r1i1p1f1,tendency_of_ocean_mole_content_of_dissolved_inorganic_silicon,Rate of Change of Net Dissolved Inorganic Silicon,mol m-2 s-1,1.0,,1850-01-15 13:00:00.000007,2014-12-15 12:00:00,1850-01-15-2014-12-15,/glade/collections/cmip/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/Omon/fddtdisi/gn/v20190308/fddtdisi_Omon_CESM2_historical_r1i1p1f1_gn_185001-201412.nc,v20190308
CMIP,standard,674885.0,219000.0,all-forcing simulation of the recent past,historical,mon,native gx1v7 displaced pole grid (384x320 latxlon),gn,NCAR,100 km,CMIP,piControl,CESM2,days since 0001-01-01 00:00:00,r1i1p1f1,model-output,ocnBgchem,CESM2,AOGCM BGC,none,none,Omon,fg14co2abio,r1i1p1f1,r1i1p1f1,surface_downward_mass_flux_of_14C_dioxide_abiotic_analogue_expressed_as_carbon,Surface Downward Flux of Abiotic 14CO2,kg m-2 s-1,1.0,,1850-01-15 13:00:00.000007,2014-12-15 12:00:00,1850-01-15-2014-12-15,/glade/collections/cmip/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/Omon/fg14co2abio/gn/v20190308/fg14co2abio_Omon_CESM2_historical_r1i1p1f1_gn_185001-201412.nc,v20190308
CMIP,standard,674885.0,219000.0,all-forcing simulation of the recent past,historical,mon,native gx1v7 displaced pole grid (384x320 latxlon),gn,NCAR,100 km,CMIP,piControl,CESM2,days since 0001-01-01 00:00:00,r1i1p1f1,model-output,ocean,CESM2,AOGCM BGC,none,none,Omon,fgcfc11,r1i1p1f1,r1i1p1f1,surface_downward_mole_flux_of_cfc11,Surface Downward CFC11 Flux,mol m-2 s-1,1.0,,1850-01-15 13:00:00.000007,2014-12-15 12:00:00,1850-01-15-2014-12-15,/glade/collections/cmip/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/Omon/fgcfc11/gn/v20190308/fgcfc11_Omon_CESM2_historical_r1i1p1f1_gn_185001-201412.nc,v20190308
CMIP,standard,674885.0,219000.0,all-forcing simulation of the recent past,historical,mon,native gx1v7 displaced pole grid (384x320 latxlon),gn,NCAR,100 km,CMIP,piControl,CESM2,days since 0001-01-01 00:00:00,r1i1p1f1,model-output,ocean,CESM2,AOGCM BGC,none,none,Omon,fgcfc12,r1i1p1f1,r1i1p1f1,surface_downward_mole_flux_of_cfc12,Surface Downward CFC12 Flux,mol m-2 s-1,1.0,,1850-01-15 13:00:00.000007,2014-12-15 12:00:00,1850-01-15-2014-12-15,/glade/collections/cmip/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/Omon/fgcfc12/gn/v20190308/fgcfc12_Omon_CESM2_historical_r1i1p1f1_gn_185001-201412.nc,v20190308
